URL,Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Manufacturer,Model,Fuel Type
https://olx.ba/artikal/62034041,2.000 KM,Manuelni,2002,63,116.000km,1.4,Daewoo,Lanos,Benzin
https://olx.ba/artikal/62200636,1.650 KM,Manuelni,1995,55,175.000km,1.6,Opel,Astra,Benzin
https://olx.ba/artikal/62197985,1.950 KM,Manuelni,1997,47,276.450km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62197925,1.400 KM,Manuelni,2000,33,175.000km,1.2,Opel,Corsa,Plin
https://olx.ba/artikal/62030918,1.500 KM,Manuelni,2002,44,220.000km,1.3,Ford,Fiesta,Benzin
https://olx.ba/artikal/62196228,1.400 KM,Manuelni,1997,40,217.000km,1.2,Renault,Twingo,Benzin
https://olx.ba/artikal/62030600,2.000 KM,Manuelni,2002,54,130.000km,1.4,Daewoo,Lanos,Benzin
https://olx.ba/artikal/61537205,1.800 KM,Manuelni,1991,40,150.000km,1.4,Peugeot,106,Benzin
https://olx.ba/artikal/62194261,1.200 KM,Manuelni,2000,47,321.456km,1.9,Volkswagen,Polo,Dizel
https://olx.ba/artikal/62193419,1.111 KM,Automatik,1999,95,11.111.111km,2.9,Mercedes-Benz,E 290,Dizel
https://olx.ba/artikal/62192733,1.500 KM,Manuelni,2001,75,268.112km,1.9,Renault,Megane,Dizel
https://olx.ba/artikal/59226531,1.200 KM,Manuelni,1998,59,237.000km,1.4,Fiat,Bravo,Benzin
https://olx.ba/artikal/61643537,1.350 KM,Manuelni,2001,44,187.146km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/55138663,1.500 KM,Manuelni,1997,74,387.000km,1.6,Opel,Vectra,Plin
https://olx.ba/artikal/62187763,2.000 KM,Manuelni,1994,55,103.312km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/61567658,1.950 KM,Manuelni,2001,48,333.333km,1.7,Opel,Corsa,Dizel
https://olx.ba/artikal/62003543,1.100 KM,Manuelni,2003,43,300.000km,1.2,Renault,Twingo,Benzin
https://olx.ba/artikal/62178207,1.500 KM,Manuelni,1998,74,250.000km,1.6,Opel,Vectra,Benzin
https://olx.ba/artikal/61466313,1.350 KM,Manuelni,1986,55,300.000km,1.6,Volkswagen,Golf,Plin
https://olx.ba/artikal/62181071,1.900 KM,Manuelni,1997,110,358.885km,2.0,BMW,520,Plin
https://olx.ba/artikal/61540823,1.650 KM,Manuelni,1998,66,222.333km,1.9,Volvo,V40,Dizel
https://olx.ba/artikal/62180651,1.850 KM,Manuelni,1987,40,142.352km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62110088,1.250 KM,Manuelni,2001,40,29.000km,1.1,Fiat,Seicento,Benzin
https://olx.ba/artikal/62008503,1.950 KM,Manuelni,1998,81,410.000km,1.9,Volkswagen,Passat,Dizel
https://olx.ba/artikal/61973798,1.400 KM,Manuelni,2000,44,212.555km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/62178201,1.450 KM,Manuelni,1998,50,383.000km,1.9,Citroen,Berlingo,Dizel
https://olx.ba/artikal/62006081,1.600 KM,Manuelni,2002,55,190.000km,1.1,Peugeot,206,Benzin
https://olx.ba/artikal/60903347,2.000 KM,Manuelni,2002,59,250.000km,1.9,Fiat,Punto,Dizel
https://olx.ba/artikal/62177293,1.100 KM,Manuelni,1989,59,400.000km,1.6,Audi,80,Dizel
