URL,Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Manufacturer,Model,Fuel Type
https://olx.ba/artikal/61542084,750 KM,Manuelni,1986,45.0,1km,1.3,Volkswagen,Golf,Benzin
https://olx.ba/artikal/61541018,900 KM,Manuelni,2000,43.0,285.000km,1.2,Alfa Romeo,Alfa 156,Benzin
https://olx.ba/artikal/61680763,1.000 KM,Manuelni,1983,66.0,250.000km,1.6,Opel,Ascona,Benzin
https://olx.ba/artikal/60347262,950 KM,Manuelni,2002,43.0,188.000km,1.2,Renault,Clio,Benzin
https://olx.ba/artikal/60764721,1.000 KM,Manuelni,1998,40.0,226.000km,1.1,Fiat,Punto,Benzin
https://olx.ba/artikal/57565503,900 KM,Manuelni,1995,66.0,200.000km,1.8,Volkswagen,Golf,Plin
https://olx.ba/artikal/61618031,1.000 KM,Manuelni,1998,101.0,3km,2.0,Opel,Vectra,Benzin
https://olx.ba/artikal/61615086,999 KM,Manuelni,1998,80.0,320.000km,1.8,Ford,Mondeo,Benzin
https://olx.ba/artikal/61594967,850 KM,Manuelni,1987,55.0,222.222km,1.4,Ford,Escort,Benzin
https://olx.ba/artikal/61455161,850 KM,Manuelni,1994,50.0,160.000km,1.6,Volkswagen,Polo,Benzin
https://olx.ba/artikal/61453902,680 KM,Manuelni,2000,44.0,222.222km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/61591926,1.000 KM,Manuelni,2002,48.0,300.000km,1.5,Renault,Clio,Dizel
https://olx.ba/artikal/61447234,700 KM,Manuelni,1987,44.0,400.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/61570173,900 KM,Manuelni,1999,55.0,322.222km,1.4,Citroen,Xsara,Plin
https://olx.ba/artikal/61424388,800 KM,Manuelni,2003,40.0,193.235km,1.2,Volkswagen,Polo,Benzin
https://olx.ba/artikal/59902265,55 KM,Automatik,2018,140.0,142.000km,2.0,BMW,520,Dizel
https://olx.ba/artikal/50210342,1.000 KM,Manuelni,2001,59.0,247.216km,1.2,Fiat,Bravo,Benzin
https://olx.ba/artikal/61405255,600 KM,Manuelni,1989,33.0,333.333km,1.1,Ford,Fiesta,Benzin
https://olx.ba/artikal/61375776,650 KM,Manuelni,2000,40.0,196.059km,1.0,Opel,Corsa,Benzin
https://olx.ba/artikal/59274926,990 KM,Manuelni,1988,55.0,3.500.000km,1.3,Volkswagen,Golf,Benzin
https://olx.ba/artikal/61485856,700 KM,Manuelni,1987,33.0,400.000km,1.3,Volkswagen,Polo,Benzin
https://olx.ba/artikal/61346690,900 KM,Manuelni,1999,51.0,5.588km,1.7,Fiat,Punto,Dizel
https://olx.ba/artikal/61308197,1.000 KM,Manuelni,1997,40.0,218.000km,1.0,Nissan,Micra,Benzin
https://olx.ba/artikal/60426939,1.000 KM,Manuelni,1996,33.0,290.000km,1.2,Opel,Corsa,Benzin
https://olx.ba/artikal/61273875,1.000 KM,Manuelni,1994,33.0,195.924km,1.2,Opel,Corsa,Benzin
https://olx.ba/artikal/60523721,900 KM,Manuelni,1996,55.0,325.000km,1.9,Volkswagen,Vento,Dizel
https://olx.ba/artikal/61372029,900 KM,Manuelni,1988,40.0,260.000km,1.6,Volkswagen,Golf,Benzin
https://olx.ba/artikal/61311536,1.000 KM,Manuelni,2005,81.0,201.352km,1.9,Mercedes-Benz,C 240,Dizel
https://olx.ba/artikal/61252547,950 KM,Manuelni,1990,44.0,40.712km,1.7,Opel,Kadett,Dizel
https://olx.ba/artikal/56617268,950 KM,Manuelni,1996,55.0,155.000km,1.6,Peugeot,306,Plin
https://olx.ba/artikal/59979903,950 KM,Manuelni,2000,44.0,250.000km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/60578345,950 KM,Manuelni,2000,555555.0,0km,1.2,Fiat,Brava,Plin
https://olx.ba/artikal/60391835,1.000 KM,Manuelni,2002,44.0,245.379km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/59523504,900 KM,Manuelni,1990,60.0,194.027km,1.6,Fiat,Tipo,Benzin
https://olx.ba/artikal/60038760,999 KM,Manuelni,1999,40.0,185.214km,1.1,Fiat,Punto,Benzin
https://olx.ba/artikal/60079744,499 KM,Manuelni,2002,37.0,33.333.333km,1.3,Ford,Fiesta,Benzin
https://olx.ba/artikal/59947560,1.000 KM,Manuelni,1999,43.0,275.000km,1.2,Renault,Twingo,Benzin
https://olx.ba/artikal/50721602,999 KM,Manuelni,1987,66.0,250.000km,1.8,Opel,Kadett,Benzin
https://olx.ba/artikal/28115174,700 KM,Automatik,1998,44.0,120.000km,1.3,Ford,Ka / Ka+,Benzin
https://olx.ba/artikal/32170685,1.000 KM,Manuelni,1993,47.0,312.000km,1.9,Citroen,ZX,Dizel
https://olx.ba/artikal/59994155,79.990 KM,Automatik,2018,210.0,254.000km,3.0,Volkswagen,Touareg,Dizel
https://olx.ba/artikal/60831856,69900 KM,Automatik,2020,140.0,54.500km,2.0,Volkswagen,Arteon,Dizel
https://olx.ba/artikal/61101330,72.900 KM,Automatik,2020,140.0,127.700km,2.0,Volkswagen,Tiguan,Dizel
https://olx.ba/artikal/59584486,88900 KM,Automatik,2020,173.0,61.000km,2.0,Volvo,XC 60,Dizel
https://olx.ba/artikal/61330921,119.000 KM,Automatik,2020,250.0,72.000km,3.0,Mercedes-Benz,CLS 400,Dizel
https://olx.ba/artikal/61413762,279.650 KM,Automatik,2023,463.0,25.000km,4.0,Audi,RS6,Benzin
